S,52,T,prob,Connected,45,37,33,32,28,24,23,22,18,15,14,12,10,5,4,1,48,50,46,47,43,49,42,44,36,41,31,38,27,34,13,21,11,20,7,16,2,6
2,,1,0.62,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.38,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.38,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.38,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.62,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.62,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.62,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.38,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.38,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.38,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.57,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.57,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.43,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.57,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.57,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.48,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.48,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.26,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.26,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.26,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.48,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.48,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.28,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
