S,67,T,prob,Connected,64,59,58,54,50,44,35,30,26,24,23,22,20,17,15,13,12,8,2,63,65,61,62,45,46,40,42,31,38,19,32,9,27,6,21,4,14,1,7
0,,0,0.55,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.55,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.55,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.55,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.55,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.55,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.55,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.55,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.32,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.32,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.25,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.25,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.32,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.32,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.25,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.25,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
