S,2,3,T,prob,Connected
2,2,1,1,0.016,False
3,2,1,1,0.016,False
4,2,1,1,0.016,False
0,3,1,1,0.012,False
1,3,1,1,0.012,False
2,3,1,1,0.012,False
3,3,1,1,0.012,False
4,3,1,1,0.012,False
0,4,1,1,0.045000000000000005,True
1,4,1,1,0.045000000000000005,False
2,4,1,1,0.045000000000000005,True
3,4,1,1,0.045000000000000005,True
4,4,1,1,0.045000000000000005,True
0,0,2,1,0.0165,False
1,0,2,1,0.0165,True
2,0,2,1,0.0165,False
3,0,2,1,0.0165,True
4,0,2,1,0.0165,True
0,1,2,1,0.0132,True
1,1,2,1,0.0132,False
2,1,2,1,0.0132,True
3,1,2,1,0.0132,False
4,1,2,1,0.0132,True
0,2,2,1,0.0176,False
1,2,2,1,0.0176,False
2,2,2,1,0.0176,False
3,2,2,1,0.0176,False
4,2,2,1,0.0176,False
0,3,2,1,0.0132,False
1,3,2,1,0.0132,False
2,3,2,1,0.0132,False
3,3,2,1,0.0132,False
4,3,2,1,0.0132,False
0,4,2,1,0.0495,True
1,4,2,1,0.0495,False
2,4,2,1,0.0495,True
3,4,2,1,0.0495,True
4,4,2,1,0.0495,True
0,0,3,1,0.028499999999999998,False
1,0,3,1,0.028499999999999998,False
2,0,3,1,0.028499999999999998,False
3,0,3,1,0.028499999999999998,False
4,0,3,1,0.028499999999999998,False
0,1,3,1,0.0228,False
1,1,3,1,0.0228,False
2,1,3,1,0.0228,False
3,1,3,1,0.0228,False
4,1,3,1,0.0228,False
0,2,3,1,0.0304,False
1,2,3,1,0.0304,False
2,2,3,1,0.0304,False
3,2,3,1,0.0304,False
4,2,3,1,0.0304,False
0,3,3,1,0.0228,False
1,3,3,1,0.0228,False
2,3,3,1,0.0228,False
3,3,3,1,0.0228,False
4,3,3,1,0.0228,False
0,4,3,1,0.0855,False
1,4,3,1,0.0855,False
2,4,3,1,0.0855,False
3,4,3,1,0.0855,False
4,4,3,1,0.0855,False
0,0,4,1,0.06149999999999999,False
1,0,4,1,0.06149999999999999,True
2,0,4,1,0.06149999999999999,False
3,0,4,1,0.06149999999999999,True
4,0,4,1,0.06149999999999999,True
0,1,4,1,0.049199999999999994,False
1,1,4,1,0.049199999999999994,False
2,1,4,1,0.049199999999999994,False
3,1,4,1,0.049199999999999994,False
4,1,4,1,0.049199999999999994,False
0,2,4,1,0.06559999999999999,False
1,2,4,1,0.06559999999999999,False
2,2,4,1,0.06559999999999999,False
3,2,4,1,0.06559999999999999,False
4,2,4,1,0.06559999999999999,False
0,3,4,1,0.049199999999999994,True
1,3,4,1,0.049199999999999994,False
2,3,4,1,0.049199999999999994,False
3,3,4,1,0.049199999999999994,False
4,3,4,1,0.049199999999999994,True
0,4,4,1,0.1845,True
1,4,4,1,0.1845,False
2,4,4,1,0.1845,True
3,4,4,1,0.1845,True
4,4,4,1,0.1845,True
0,0,0,2,0.028499999999999998,False
1,0,0,2,0.028499999999999998,False
2,0,0,2,0.028499999999999998,False
3,0,0,2,0.028499999999999998,False
4,0,0,2,0.028499999999999998,False
0,1,0,2,0.0228,False
1,1,0,2,0.0228,False
2,1,0,2,0.0228,False
3,1,0,2,0.0228,False
4,1,0,2,0.0228,False
0,2,0,2,0.0304,True
1,2,0,2,0.0304,False
2,2,0,2,0.0304,False
3,2,0,2,0.0304,False
4,2,0,2,0.0304,True
0,3,0,2,0.0228,False
1,3,0,2,0.0228,False
2,3,0,2,0.0228,False
3,3,0,2,0.0228,False
4,3,0,2,0.0228,False
0,4,0,2,0.0855,True
1,4,0,2,0.0855,False
2,4,0,2,0.0855,True
3,4,0,2,0.0855,True
4,4,0,2,0.0855,True
0,0,1,2,0.015,False
1,0,1,2,0.015,False
2,0,1,2,0.015,False
3,0,1,2,0.015,False
4,0,1,2,0.015,False
0,1,1,2,0.012,False
1,1,1,2,0.012,False
2,1,1,2,0.012,False
3,1,1,2,0.012,False
4,1,1,2,0.012,False
0,2,1,2,0.016,False
1,2,1,2,0.016,False
2,2,1,2,0.016,False
3,2,1,2,0.016,False
4,2,1,2,0.016,False
0,3,1,2,0.012,False
1,3,1,2,0.012,False
2,3,1,2,0.012,False
3,3,1,2,0.012,False
4,3,1,2,0.012,False
0,4,1,2,0.045000000000000005,False
1,4,1,2,0.045000000000000005,False
2,4,1,2,0.045000000000000005,False
3,4,1,2,0.045000000000000005,False
4,4,1,2,0.045000000000000005,False
0,0,2,2,0.0165,False
1,0,2,2,0.0165,False
2,0,2,2,0.0165,False
3,0,2,2,0.0165,False
4,0,2,2,0.0165,False
0,1,2,2,0.0132,False
1,1,2,2,0.0132,False
2,1,2,2,0.0132,False
3,1,2,2,0.0132,False
4,1,2,2,0.0132,False
0,2,2,2,0.0176,False
1,2,2,2,0.0176,False
2,2,2,2,0.0176,False
3,2,2,2,0.0176,False
4,2,2,2,0.0176,False
0,3,2,2,0.0132,False
1,3,2,2,0.0132,False
2,3,2,2,0.0132,False
3,3,2,2,0.0132,False
4,3,2,2,0.0132,False
0,4,2,2,0.0495,False
1,4,2,2,0.0495,False
2,4,2,2,0.0495,False
3,4,2,2,0.0495,False
4,4,2,2,0.0495,False
0,0,3,2,0.028499999999999998,False
1,0,3,2,0.028499999999999998,False
2,0,3,2,0.028499999999999998,False
3,0,3,2,0.028499999999999998,False
4,0,3,2,0.028499999999999998,False
0,1,3,2,0.0228,True
1,1,3,2,0.0228,False
2,1,3,2,0.0228,True
3,1,3,2,0.0228,False
4,1,3,2,0.0228,True
0,2,3,2,0.0304,True
1,2,3,2,0.0304,False
2,2,3,2,0.0304,False
3,2,3,2,0.0304,False
4,2,3,2,0.0304,True
0,3,3,2,0.0228,True
1,3,3,2,0.0228,False
2,3,3,2,0.0228,False
3,3,3,2,0.0228,False
4,3,3,2,0.0228,True
0,4,3,2,0.0855,True
1,4,3,2,0.0855,False
2,4,3,2,0.0855,True
3,4,3,2,0.0855,True
4,4,3,2,0.0855,True
0,0,4,2,0.06149999999999999,False
1,0,4,2,0.06149999999999999,False
2,0,4,2,0.06149999999999999,False
3,0,4,2,0.06149999999999999,False
4,0,4,2,0.06149999999999999,False
0,1,4,2,0.049199999999999994,False
1,1,4,2,0.049199999999999994,False
2,1,4,2,0.049199999999999994,False
3,1,4,2,0.049199999999999994,False
4,1,4,2,0.049199999999999994,False
0,2,4,2,0.06559999999999999,False
1,2,4,2,0.06559999999999999,False
2,2,4,2,0.06559999999999999,False
3,2,4,2,0.06559999999999999,False
4,2,4,2,0.06559999999999999,False
0,3,4,2,0.049199999999999994,False
1,3,4,2,0.049199999999999994,False
2,3,4,2,0.049199999999999994,False
3,3,4,2,0.049199999999999994,False
4,3,4,2,0.049199999999999994,False
0,4,4,2,0.1845,False
1,4,4,2,0.1845,False
2,4,4,2,0.1845,False
3,4,4,2,0.1845,False
4,4,4,2,0.1845,False
0,0,0,3,0.028499999999999998,False
1,0,0,3,0.028499999999999998,False
2,0,0,3,0.028499999999999998,False
3,0,0,3,0.028499999999999998,False
4,0,0,3,0.028499999999999998,False
0,1,0,3,0.0228,False
1,1,0,3,0.0228,False
2,1,0,3,0.0228,False
3,1,0,3,0.0228,False
4,1,0,3,0.0228,False
0,2,0,3,0.0304,True
1,2,0,3,0.0304,False
2,2,0,3,0.0304,False
3,2,0,3,0.0304,False
4,2,0,3,0.0304,True
0,3,0,3,0.0228,False
1,3,0,3,0.0228,False
2,3,0,3,0.0228,False
3,3,0,3,0.0228,False
4,3,0,3,0.0228,False
0,4,0,3,0.0855,True
1,4,0,3,0.0855,False
2,4,0,3,0.0855,True
3,4,0,3,0.0855,True
4,4,0,3,0.0855,True
0,0,1,3,0.015,False
1,0,1,3,0.015,False
2,0,1,3,0.015,False
3,0,1,3,0.015,False
4,0,1,3,0.015,False
0,1,1,3,0.012,False
1,1,1,3,0.012,False
2,1,1,3,0.012,False
3,1,1,3,0.012,False
4,1,1,3,0.012,False
0,2,1,3,0.016,False
1,2,1,3,0.016,False
2,2,1,3,0.016,False
3,2,1,3,0.016,False
4,2,1,3,0.016,False
0,3,1,3,0.012,False
1,3,1,3,0.012,False
2,3,1,3,0.012,False
3,3,1,3,0.012,False
4,3,1,3,0.012,False
0,4,1,3,0.045000000000000005,False
1,4,1,3,0.045000000000000005,False
2,4,1,3,0.045000000000000005,False
3,4,1,3,0.045000000000000005,False
4,4,1,3,0.045000000000000005,False
0,0,2,3,0.0165,False
1,0,2,3,0.0165,False
2,0,2,3,0.0165,False
3,0,2,3,0.0165,False
4,0,2,3,0.0165,False
0,1,2,3,0.0132,False
1,1,2,3,0.0132,False
2,1,2,3,0.0132,False
3,1,2,3,0.0132,False
4,1,2,3,0.0132,False
0,2,2,3,0.0176,False
1,2,2,3,0.0176,False
2,2,2,3,0.0176,False
3,2,2,3,0.0176,False
4,2,2,3,0.0176,False
0,3,2,3,0.0132,False
1,3,2,3,0.0132,False
2,3,2,3,0.0132,False
3,3,2,3,0.0132,False
4,3,2,3,0.0132,False
0,4,2,3,0.0495,False
1,4,2,3,0.0495,False
2,4,2,3,0.0495,False
3,4,2,3,0.0495,False
4,4,2,3,0.0495,False
0,0,3,3,0.028499999999999998,False
1,0,3,3,0.028499999999999998,False
2,0,3,3,0.028499999999999998,False
3,0,3,3,0.028499999999999998,False
4,0,3,3,0.028499999999999998,False
0,1,3,3,0.0228,True
1,1,3,3,0.0228,False
2,1,3,3,0.0228,True
3,1,3,3,0.0228,False
4,1,3,3,0.0228,True
0,2,3,3,0.0304,True
1,2,3,3,0.0304,False
2,2,3,3,0.0304,False
3,2,3,3,0.0304,False
4,2,3,3,0.0304,True
0,3,3,3,0.0228,True
1,3,3,3,0.0228,False
2,3,3,3,0.0228,False
3,3,3,3,0.0228,False
4,3,3,3,0.0228,True
0,4,3,3,0.0855,True
1,4,3,3,0.0855,False
2,4,3,3,0.0855,True
3,4,3,3,0.0855,True
4,4,3,3,0.0855,True
0,0,4,3,0.06149999999999999,False
1,0,4,3,0.06149999999999999,True
2,0,4,3,0.06149999999999999,False
3,0,4,3,0.06149999999999999,True
4,0,4,3,0.06149999999999999,True
0,1,4,3,0.049199999999999994,False
1,1,4,3,0.049199999999999994,False
2,1,4,3,0.049199999999999994,False
3,1,4,3,0.049199999999999994,False
4,1,4,3,0.049199999999999994,False
0,2,4,3,0.06559999999999999,False
1,2,4,3,0.06559999999999999,False
2,2,4,3,0.06559999999999999,False
3,2,4,3,0.06559999999999999,False
4,2,4,3,0.06559999999999999,False
0,3,4,3,0.049199999999999994,True
1,3,4,3,0.049199999999999994,False
2,3,4,3,0.049199999999999994,False
3,3,4,3,0.049199999999999994,False
4,3,4,3,0.049199999999999994,True
0,4,4,3,0.1845,True
1,4,4,3,0.1845,False
2,4,4,3,0.1845,True
3,4,4,3,0.1845,True
4,4,4,3,0.1845,True
0,0,0,4,0.028499999999999998,False
1,0,0,4,0.028499999999999998,False
2,0,0,4,0.028499999999999998,False
3,0,0,4,0.028499999999999998,False
4,0,0,4,0.028499999999999998,False
0,1,0,4,0.0228,False
1,1,0,4,0.0228,False
2,1,0,4,0.0228,False
3,1,0,4,0.0228,False
4,1,0,4,0.0228,False
0,2,0,4,0.0304,False
1,2,0,4,0.0304,False
2,2,0,4,0.0304,False
3,2,0,4,0.0304,False
4,2,0,4,0.0304,False
0,3,0,4,0.0228,False
1,3,0,4,0.0228,False
2,3,0,4,0.0228,False
3,3,0,4,0.0228,False
4,3,0,4,0.0228,False
0,4,0,4,0.0855,False
1,4,0,4,0.0855,False
2,4,0,4,0.0855,False
3,4,0,4,0.0855,False
4,4,0,4,0.0855,False
0,0,1,4,0.015,False
1,0,1,4,0.015,False
2,0,1,4,0.015,False
3,0,1,4,0.015,False
4,0,1,4,0.015,False
0,1,1,4,0.012,False
1,1,1,4,0.012,False
2,1,1,4,0.012,False
3,1,1,4,0.012,False
4,1,1,4,0.012,False
0,2,1,4,0.016,False
1,2,1,4,0.016,False
2,2,1,4,0.016,False
3,2,1,4,0.016,False
4,2,1,4,0.016,False
0,3,1,4,0.012,False
1,3,1,4,0.012,False
2,3,1,4,0.012,False
3,3,1,4,0.012,False
4,3,1,4,0.012,False
0,4,1,4,0.045000000000000005,False
1,4,1,4,0.045000000000000005,False
2,4,1,4,0.045000000000000005,False
3,4,1,4,0.045000000000000005,False
4,4,1,4,0.045000000000000005,False
0,0,2,4,0.0165,False
1,0,2,4,0.0165,False
2,0,2,4,0.0165,False
3,0,2,4,0.0165,False
4,0,2,4,0.0165,False
0,1,2,4,0.0132,False
1,1,2,4,0.0132,False
2,1,2,4,0.0132,False
3,1,2,4,0.0132,False
4,1,2,4,0.0132,False
0,2,2,4,0.0176,False
1,2,2,4,0.0176,False
2,2,2,4,0.0176,False
3,2,2,4,0.0176,False
4,2,2,4,0.0176,False
0,3,2,4,0.0132,False
1,3,2,4,0.0132,False
2,3,2,4,0.0132,False
3,3,2,4,0.0132,False
4,3,2,4,0.0132,False
0,4,2,4,0.0495,False
1,4,2,4,0.0495,False
2,4,2,4,0.0495,False
3,4,2,4,0.0495,False
4,4,2,4,0.0495,False
0,0,3,4,0.028499999999999998,False
1,0,3,4,0.028499999999999998,False
2,0,3,4,0.028499999999999998,False
3,0,3,4,0.028499999999999998,False
4,0,3,4,0.028499999999999998,False
0,1,3,4,0.0228,False
1,1,3,4,0.0228,False
2,1,3,4,0.0228,False
3,1,3,4,0.0228,False
4,1,3,4,0.0228,False
0,2,3,4,0.0304,False
1,2,3,4,0.0304,False
2,2,3,4,0.0304,False
3,2,3,4,0.0304,False
4,2,3,4,0.0304,False
0,3,3,4,0.0228,False
1,3,3,4,0.0228,False
2,3,3,4,0.0228,False
3,3,3,4,0.0228,False
4,3,3,4,0.0228,False
0,4,3,4,0.0855,False
1,4,3,4,0.0855,False
2,4,3,4,0.0855,False
3,4,3,4,0.0855,False
4,4,3,4,0.0855,False
0,0,4,4,0.06149999999999999,False
1,0,4,4,0.06149999999999999,False
2,0,4,4,0.06149999999999999,False
3,0,4,4,0.06149999999999999,False
4,0,4,4,0.06149999999999999,False
0,1,4,4,0.049199999999999994,False
1,1,4,4,0.049199999999999994,False
2,1,4,4,0.049199999999999994,False
3,1,4,4,0.049199999999999994,False
4,1,4,4,0.049199999999999994,False
0,2,4,4,0.06559999999999999,False
1,2,4,4,0.06559999999999999,False
2,2,4,4,0.06559999999999999,False
3,2,4,4,0.06559999999999999,False
4,2,4,4,0.06559999999999999,False
0,3,4,4,0.049199999999999994,False
1,3,4,4,0.049199999999999994,False
2,3,4,4,0.049199999999999994,False
3,3,4,4,0.049199999999999994,False
4,3,4,4,0.049199999999999994,False
0,4,4,4,0.1845,False
1,4,4,4,0.1845,False
2,4,4,4,0.1845,False
3,4,4,4,0.1845,False
4,4,4,4,0.1845,False
